Istuntokauden uudelleenavaaminen	Resumption of the session
Julistan Euroopan parlamentin perjantaina 15. joulukuuta 2000 keskeytetyn istuntokauden uudelleen avatuksi.	I declare resumed the session of the European Parliament adjourned on Friday, 15 December 2000.
Puhemiehen julkilausumat	Statements by the President
Hyvät kollegat, kuten tiedätte, uusi maanjäristys vavisutti lauantaina traagisesti Keski-Amerikkaa, joka on jo 1900-luvun alusta lähtien saanut kärsiä moneen otteeseen vakavista vahingoista.	Ladies and gentlemen, on Saturday, as you know, an earthquake struck Central America once again, with tragic consequences. This is an area which has already been seriously affected on a number of occasions since the beginning of the twentieth century.
Tämänhetkinen tilanne näyttää El Salvadorissa todella huonolta: 350 kuollutta, 1200 kadonnutta, kokonainen alue on joutunut hävityksen alle, koko maassa tuhansia koteja on tuhoutunut.	The latest, provisional, figures for victims in El Salvador are already very high. There are 350 people dead, 1 200 people missing, the area is completely devastated and thousands of homes have been destroyed throughout the country.
Euroopan unioni on jo osoittanut solidaarisuutensa ja lähettänyt paikalle pelastusryhmän. Myös unioni ja jäsenvaltiot ovat vapauttaneet tai ovat vapauttamassa varoja uhrien auttamiseksi, ja voin sanoa, että eräät Euroopan parlamentin ryhmät ovat pyytäneet, että tämä kysymys otettaisiin mukaan torstain kiireellisiä asioita koskevaan keskusteluun.	The European Union has already shown its solidarity by sending a rescue team to the area, whilst financial assistance from the Union and Member States has been, or is in the process of being, released and I am able to inform you that some groups in the European Parliament have requested that this issue be included in the debate on topical and urgent subjects of major importance on Thursday.
Haluaisin kuitenkin sanoa teille, että luonnollisestikin olen esittänyt Euroopan parlamentin puolesta El Salvadorin presidentille surunvalittelumme ja välittänyt hänelle syvimmän myötätuntomme osoitukset maata kohdanneiden koettelemusten vuoksi.	However, I should like to inform you that I have, of course, on behalf of the European Union, expressed our sincere condolences and deepest sympathy to the President of El Salvador in the tragedy which has struck his country.
Pyydän, että vietämme minuutin hiljaisuuden uhrien muistoksi ja heidän perheidensä tukemiseksi valtavan surun keskellä.	I would ask you, as a mark of respect for the victims and for the immense suffering of their families, to observe a minute' s silence.
(Parlamentti vietti minuutin hiljaisuuden uhrien muistoksi.)	(The House rose and observed a minute' s silence)
Puhemies.	President.
31. joulukuuta, joka on suurimmalle osalle meistä juhlapäivä, muuttui valitettavasti Alankomaissa Volendamin kaupungissa surun päiväksi niille perheille, joiden 10 teini-ikäistä lasta menehtyi uudenvuodenyönä.	Tragically, on 31 December, a day that most of us commemorate with celebration, became a day of mourning for the families of Volendam, in the Netherlands, who lost 10 of their young people on New Year' s Eve.
Haluaisin ilmaista Euroopan parlamentin puolesta myötätuntoni uhrien vanhemmille ja perheille.	I should like, on behalf of the European Parliament, to express our sympathy to the parents and families of the victims.
Toivon myös pikaista toipumista niille 180 henkilölle, jotka loukkaantuivat tässä järkyttävässä tulipalossa.	I should also like to wish the 180 people injured in this awful fire a speedy recovery.
Haluaisin muistuttaa, että on myös muita paikkoja, joissa on tarkoitus juhlia ja iloita mutta jotka muuttuvat liian usein surun ja murheen tyyssijoiksi riittävien turvatoimien puuttuessa.	I should not forget that many places, where joyful celebrations are also held, are all too often transformed by sadness and mourning, due to a lack of adequate safety measures.
Näin ollen osoitan surunvalitteluni Kiinassa Luoyangissa diskon tulipalossa menehtyneen 309 uhrin perheille ja pyydän teitä viettämään minuutin hiljaisuuden heidän muistokseen.	It is in the same spirit that I should like to express my condolences to the families of the 309 victims of the fire at a disco in Luoyang, in China, and I would ask you to observe a minute' s silence in honour of these victims.
(Parlamentti vietti minuutin hiljaisuuden uhrien muistoksi.)	(The House rose and observed a minute' s silence)
Puhemies.	President.
Hyvät kollegat, olisin teidän tavoin toivonut, että olisimme voineet avata vuoden ensimmäisen istuntokauden ilman, että meidän olisi tarvinnut muistuttaa uusista ETAn terrorismin uhreista.	Ladies and gentlemen, I had wished, as everyone had, that we would be able to open our first part-session of the year without having to mention further victims of ETA terrorism.
Valitettavasti 20. joulukuuta terroristit tappoivat barcelonalaisen kunnallispoliisin Juan Miguel Gervillan.	Unfortunately, on 20 December, Juan Miguel Gervilla, a police officer in Barcelona, was killed by terrorists.
Hän oli yllättänyt murhaajansa, kun nämä olivat valmistelemassa pommi-iskua.	He had disturbed his killers as they were preparing an attack.
Hän sai valitettavasti maksaa tästä rohkeasta teosta hengellään, mutta hän pelasti sillä epäilemättä monen muun ihmisen hengen.	His courageous actions unfortunately cost him his life but undoubtedly also saved many others.
Tämän vuoksi haluan osoittaa hänelle aivan erityistä kunnioitusta, ja pyydän teitä viettämään minuutin hiljaisuuden hänen muistokseen.	This is why I would like to pay tribute to him in particular and I would ask you again to observe a minute' s silence.
(Parlamentti vietti minuutin hiljaisuuden uhrin muistoksi.)	(The House rose and observed a minute' s silence)
